ContigID,ContigLength,LogProbability,PredictionResult,ReferenceAcc,ReferenceLength,MostProbablyVirusName
SRR2037085_NODE_7975_length_2196_cov_3.409155,2196,78.3%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037085_NODE_7941_length_2203_cov_15.886406,2203,78.6%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037085_NODE_7456_length_2292_cov_5.023692,2292,81.8%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037085_NODE_7354_length_2310_cov_72.803104,2310,82.4%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037085_NODE_6879_length_2422_cov_14.829742,2422,86.4%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037085_NODE_6827_length_2434_cov_20.583438,2434,86.8%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037085_NODE_8723_length_2067_cov_4.818091,2067,73.7%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037085_NODE_8922_length_2035_cov_5.154545,2035,72.6%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037085_NODE_9045_length_2016_cov_26.444161,2016,71.9%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037085_NODE_9022_length_2020_cov_96.247328,2020,72.1%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037085_NODE_9013_length_2021_cov_65.726857,2021,63.3%,Partial,NC_038338.1,3193,"Torque teno virus 11 isolate TCHN-D1 Orf2 and Orf1 genes, complete cds"
SRR2037085_NODE_8994_length_2025_cov_4.394924,2025,72.2%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037085_NODE_8911_length_2037_cov_84.607972,2037,72.7%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037085_NODE_6722_length_2456_cov_42.191587,2456,87.6%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037085_NODE_6030_length_2614_cov_177.803439,2614,93.3%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037085_NODE_5224_length_2850_cov_32.351342,2850,101.7%,Full-length,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037085_NODE_5210_length_2855_cov_36.480714,2855,101.9%,Full-length,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037085_NODE_5119_length_2885_cov_83.151590,2885,102.9%,Full-length,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR6316308_NODE_18_length_2379_cov_28.745697,2379,84.9%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR6316308_NODE_3_length_3287_cov_16.329208,3287,117.3%,Full-length,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR6316308_NODE_19_length_2055_cov_4.562000,2055,73.3%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR10951765_NODE_1327_length_3022_cov_35.271655,3022,107.8%,Full-length,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR10951765_NODE_1788_length_2079_cov_11.845356,2079,74.2%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR6316221_NODE_17_length_2896_cov_17.302006,2896,103.3%,Full-length,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR5681747_NODE_1_length_2233_cov_22.184137,2233,59.6%,Partial,NC_014081.1,3748,"Torque teno virus 3, complete genome"
SRR6316302_NODE_4_length_3037_cov_13.554661,3037,108.3%,Full-length,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR6316316_NODE_9_length_3062_cov_20.530096,3062,109.2%,Full-length,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR6316316_NODE_8_length_3194_cov_53.073590,3194,113.9%,Full-length,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
DRR140173_NODE_17_length_2149_cov_2.801815,2149,76.7%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
DRR140174_NODE_16_length_2050_cov_2.710777,2050,79.8%,Partial,NC_030650.1,2568,"Gorilla anellovirus isolate GorF ORF2 and ORF1 genes, complete cds; and nonfunctional ORF3 gene, complete sequence"
DRR140174_NODE_17_length_2022_cov_3.572445,2022,62.2%,Partial,NC_014093.1,3253,"Torque teno midi virus 2, complete genome"
DRR140164_NODE_14_length_2856_cov_68.948947,2856,101.9%,Full-length,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
DRR140164_NODE_16_length_2777_cov_67.632256,2777,99.1%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
DRR140164_NODE_21_length_2086_cov_4.342688,2086,74.4%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
DRR140175_NODE_1_length_2099_cov_2.462329,2099,74.9%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR6316294_NODE_5_length_2979_cov_87.448358,2979,106.3%,Full-length,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR6316294_NODE_3_length_3104_cov_89.526402,3104,110.7%,Full-length,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR6316304_NODE_1_length_3708_cov_80.838489,3708,132.3%,Full-length,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR6316304_NODE_14_length_2741_cov_8.661579,2741,97.8%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR8862009_NODE_8_length_2867_cov_6.887269,2867,102.3%,Full-length,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR7166809_NODE_1_length_2005_cov_3.933333,2005,71.5%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037083_NODE_1170_length_3202_cov_56.081665,3202,114.2%,Full-length,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037083_NODE_1365_length_2864_cov_58.646493,2864,88.0%,Partial,NC_014093.1,3253,"Torque teno midi virus 2, complete genome"
SRR2037083_NODE_1382_length_2836_cov_30.440489,2836,75.9%,Partial,NC_014080.1,3736,"Torque teno virus 7, complete genome"
SRR2037083_NODE_1462_length_2730_cov_37.754019,2730,83.9%,Partial,NC_014093.1,3253,"Torque teno midi virus 2, complete genome"
SRR2037083_NODE_1490_length_2690_cov_40.173435,2690,82.7%,Partial,NC_014093.1,3253,"Torque teno midi virus 2, complete genome"
SRR2037083_NODE_1507_length_2667_cov_70.631317,2667,82.0%,Partial,NC_014093.1,3253,"Torque teno midi virus 2, complete genome"
SRR2037083_NODE_1591_length_2556_cov_24.097961,2556,78.6%,Partial,NC_014093.1,3253,"Torque teno midi virus 2, complete genome"
SRR2037083_NODE_1645_length_2508_cov_7.536894,2508,77.1%,Partial,NC_014093.1,3253,"Torque teno midi virus 2, complete genome"
SRR2037083_NODE_1952_length_2217_cov_62.767345,2217,68.2%,Partial,NC_014093.1,3253,"Torque teno midi virus 2, complete genome"
SRR2037084_NODE_786_length_2746_cov_69.568190,2746,84.4%,Partial,NC_014093.1,3253,"Torque teno midi virus 2, complete genome"
SRR2037084_NODE_790_length_2735_cov_21.825000,2735,94.1%,Partial,NC_014089.1,2908,"Torque teno mini virus 5, complete genome"
SRR2037084_NODE_797_length_2706_cov_13.245190,2706,96.5%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037084_NODE_837_length_2590_cov_95.954241,2590,79.5%,Partial,NC_038362.1,3257,"Torque teno midi virus 15 DNA, complete genome, isolate: Pt-TTMDV210"
SRR2037084_NODE_898_length_2480_cov_70.987216,2480,76.2%,Partial,NC_014093.1,3253,"Torque teno midi virus 2, complete genome"
SRR2037085_NODE_5069_length_2899_cov_36.403305,2899,103.4%,Full-length,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037085_NODE_5337_length_2819_cov_91.842981,2819,96.9%,Partial,NC_014089.1,2908,"Torque teno mini virus 5, complete genome"
SRR2037085_NODE_5417_length_2795_cov_90.720438,2795,85.9%,Partial,NC_014093.1,3253,"Torque teno midi virus 2, complete genome"
SRR2037085_NODE_5425_length_2794_cov_87.050383,2794,85.9%,Partial,NC_014093.1,3253,"Torque teno midi virus 2, complete genome"
SRR2037085_NODE_5559_length_2752_cov_70.022618,2752,84.6%,Partial,NC_014093.1,3253,"Torque teno midi virus 2, complete genome"
SRR2037085_NODE_5588_length_2743_cov_85.325893,2743,84.3%,Partial,NC_014093.1,3253,"Torque teno midi virus 2, complete genome"
SRR2037085_NODE_5626_length_2730_cov_101.305794,2730,83.9%,Partial,NC_014093.1,3253,"Torque teno midi virus 2, complete genome"
SRR2037085_NODE_5654_length_2721_cov_91.711553,2721,83.6%,Partial,NC_014093.1,3253,"Torque teno midi virus 2, complete genome"
SRR2037085_NODE_5742_length_2696_cov_64.060962,2696,82.9%,Partial,NC_014093.1,3253,"Torque teno midi virus 2, complete genome"
SRR2037085_NODE_6007_length_2623_cov_7.630841,2623,91.4%,Partial,NC_038346.1,2871,"Torque teno mini virus 11 isolate LIL-y2 ORF2, ORF1, and ORF3 genes, complete cds"
SRR2037085_NODE_6018_length_2618_cov_4.453765,2618,89.9%,Partial,NC_038347.1,2912,"Torque teno mini virus 12 isolate LIL-y3 ORF2, ORF1, ORF3, and ORF4 genes, complete cds"
SRR2037085_NODE_6210_length_2563_cov_90.692982,2563,78.8%,Partial,NC_014093.1,3253,"Torque teno midi virus 2, complete genome"
SRR2037085_NODE_6297_length_2542_cov_3.851628,2542,88.5%,Partial,NC_038346.1,2871,"Torque teno mini virus 11 isolate LIL-y2 ORF2, ORF1, and ORF3 genes, complete cds"
SRR2037085_NODE_6353_length_2528_cov_4.317833,2528,90.2%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037085_NODE_6439_length_2507_cov_53.873165,2507,77.1%,Partial,NC_014093.1,3253,"Torque teno midi virus 2, complete genome"
SRR2037085_NODE_6476_length_2500_cov_4.964417,2500,76.9%,Partial,NC_014093.1,3253,"Torque teno midi virus 2, complete genome"
SRR2037085_NODE_6487_length_2497_cov_20.082310,2497,76.8%,Partial,NC_014093.1,3253,"Torque teno midi virus 2, complete genome"
SRR2037085_NODE_6499_length_2494_cov_55.443624,2494,89.0%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037085_NODE_6533_length_2490_cov_12.678439,2490,76.5%,Partial,NC_014093.1,3253,"Torque teno midi virus 2, complete genome"
SRR2037085_NODE_6550_length_2487_cov_36.356908,2487,76.5%,Partial,NC_014093.1,3253,"Torque teno midi virus 2, complete genome"
SRR2037085_NODE_6558_length_2485_cov_58.619753,2485,76.4%,Partial,NC_014093.1,3253,"Torque teno midi virus 2, complete genome"
SRR2037085_NODE_6592_length_2479_cov_53.312294,2479,76.2%,Partial,NC_014093.1,3253,"Torque teno midi virus 2, complete genome"
SRR2037085_NODE_6604_length_2478_cov_13.554684,2478,76.2%,Partial,NC_014093.1,3253,"Torque teno midi virus 2, complete genome"
SRR6316247_NODE_10_length_3024_cov_31.725497,3024,80.9%,Partial,NC_014080.1,3736,"Torque teno virus 7, complete genome"
SRR6316247_NODE_11_length_3008_cov_51.863867,3008,80.5%,Partial,NC_014080.1,3736,"Torque teno virus 7, complete genome"
SRR6316247_NODE_12_length_3007_cov_35.627710,3007,80.0%,Partial,NC_014075.1,3759,"Torque teno virus 12, complete genome"
SRR6316247_NODE_14_length_2513_cov_8.879984,2513,77.3%,Partial,NC_014093.1,3253,"Torque teno midi virus 2, complete genome"
SRR6316211_NODE_18_length_3782_cov_102.643145,3782,134.9%,Full-length,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR6316211_NODE_20_length_3704_cov_82.605371,3704,98.5%,Partial,NC_014075.1,3759,"Torque teno virus 12, complete genome"
SRR6316211_NODE_22_length_3300_cov_79.293991,3300,128.5%,Full-length,NC_030650.1,2568,"Gorilla anellovirus isolate GorF ORF2 and ORF1 genes, complete cds; and nonfunctional ORF3 gene, complete sequence"
SRR6316211_NODE_23_length_3159_cov_81.674936,3159,84.6%,Partial,NC_014080.1,3736,"Torque teno virus 7, complete genome"
SRR6316299_NODE_14_length_3888_cov_56.440125,3888,138.7%,Full-length,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR6316236_NODE_3_length_2976_cov_8.485108,2976,103.7%,Full-length,NC_038346.1,2871,"Torque teno mini virus 11 isolate LIL-y2 ORF2, ORF1, and ORF3 genes, complete cds"
SRR6316245_NODE_1_length_3961_cov_146.739119,3961,105.4%,Full-length,NC_014075.1,3759,"Torque teno virus 12, complete genome"
SRR6316245_NODE_8_length_2940_cov_87.467244,2940,78.2%,Partial,NC_014075.1,3759,"Torque teno virus 12, complete genome"
SRR6316245_NODE_9_length_2930_cov_49.341217,2930,77.9%,Partial,NC_014075.1,3759,"Torque teno virus 12, complete genome"
SRR6316245_NODE_11_length_2783_cov_9.301686,2783,99.3%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR6316245_NODE_16_length_2582_cov_11.481994,2582,68.7%,Partial,NC_014075.1,3759,"Torque teno virus 12, complete genome"
SRR6316245_NODE_19_length_2398_cov_6.469910,2398,85.6%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR6316245_NODE_21_length_2130_cov_72.326747,2130,76.0%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR6316240_NODE_1_length_3725_cov_120.698638,3725,132.9%,Full-length,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR6316240_NODE_3_length_3708_cov_107.435806,3708,98.6%,Partial,NC_014075.1,3759,"Torque teno virus 12, complete genome"
SRR6316240_NODE_4_length_3548_cov_90.202977,3548,94.4%,Partial,NC_014075.1,3759,"Torque teno virus 12, complete genome"
SRR6316240_NODE_9_length_3194_cov_94.862058,3194,85.0%,Partial,NC_014075.1,3759,"Torque teno virus 12, complete genome"
SRR6316240_NODE_10_length_3183_cov_110.953964,3183,87.9%,Partial,NC_026765.1,3621,"Simian torque teno virus 34 isolate VGA00120.1, complete genome"
SRR6316240_NODE_11_length_3178_cov_94.861671,3178,87.8%,Partial,NC_026765.1,3621,"Simian torque teno virus 34 isolate VGA00120.1, complete genome"
SRR6316240_NODE_12_length_3105_cov_80.321311,3105,82.6%,Partial,NC_014075.1,3759,"Torque teno virus 12, complete genome"
SRR6316240_NODE_13_length_3104_cov_86.507379,3104,83.1%,Partial,NC_014080.1,3736,"Torque teno virus 7, complete genome"
SRR6316240_NODE_17_length_3001_cov_45.647658,3001,79.8%,Partial,NC_014075.1,3759,"Torque teno virus 12, complete genome"
SRR6316240_NODE_22_length_2758_cov_5.453570,2758,96.1%,Partial,NC_038346.1,2871,"Torque teno mini virus 11 isolate LIL-y2 ORF2, ORF1, and ORF3 genes, complete cds"
SRR6316240_NODE_23_length_2687_cov_12.549012,2687,95.9%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR6316284_NODE_6_length_3587_cov_67.845130,3587,128.0%,Full-length,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR6316284_NODE_11_length_2885_cov_6.932862,2885,102.9%,Full-length,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR6316284_NODE_12_length_2781_cov_10.159574,2781,99.2%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR6316306_NODE_1_length_3674_cov_14.859353,3674,131.1%,Full-length,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR6316306_NODE_3_length_2940_cov_12.525823,2940,77.0%,Partial,NC_014091.1,3818,"Torque teno virus 16, complete genome"
SRR6316307_NODE_2_length_3562_cov_86.799829,3562,127.1%,Full-length,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR6316307_NODE_3_length_3485_cov_82.086006,3485,124.3%,Full-length,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR6316307_NODE_5_length_3005_cov_10.122373,3005,79.9%,Partial,NC_014075.1,3759,"Torque teno virus 12, complete genome"
SRR6316307_NODE_7_length_2855_cov_28.441786,2855,101.9%,Full-length,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR6316294_NODE_1_length_3685_cov_127.424793,3685,98.6%,Partial,NC_014080.1,3736,"Torque teno virus 7, complete genome"
SRR6316294_NODE_2_length_3554_cov_63.491569,3554,94.5%,Partial,NC_014075.1,3759,"Torque teno virus 12, complete genome"
SRR2037085_NODE_6565_length_2484_cov_27.446274,2484,76.4%,Partial,NC_014093.1,3253,"Torque teno midi virus 2, complete genome"
SRR2037085_NODE_6579_length_2481_cov_19.707749,2481,85.1%,Partial,NC_025726.1,2914,"Torque teno mini virus ALA22, complete genome"
SRR2037085_NODE_6586_length_2480_cov_6.567423,2480,76.2%,Partial,NC_014093.1,3253,"Torque teno midi virus 2, complete genome"
SRR2037085_NODE_6587_length_2480_cov_6.510515,2480,88.5%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037085_NODE_6607_length_2477_cov_24.983485,2477,76.1%,Partial,NC_014093.1,3253,"Torque teno midi virus 2, complete genome"
SRR2037085_NODE_6619_length_2475_cov_59.180579,2475,85.1%,Partial,NC_014089.1,2908,"Torque teno mini virus 5, complete genome"
SRR2037085_NODE_6624_length_2474_cov_35.030591,2474,76.1%,Partial,NC_014093.1,3253,"Torque teno midi virus 2, complete genome"
SRR2037085_NODE_6625_length_2474_cov_14.947086,2474,86.2%,Partial,NC_038346.1,2871,"Torque teno mini virus 11 isolate LIL-y2 ORF2, ORF1, and ORF3 genes, complete cds"
SRR2037085_NODE_6636_length_2473_cov_4.480562,2473,84.9%,Partial,NC_038347.1,2912,"Torque teno mini virus 12 isolate LIL-y3 ORF2, ORF1, ORF3, and ORF4 genes, complete cds"
SRR2037085_NODE_6643_length_2471_cov_22.883278,2471,76.0%,Partial,NC_014093.1,3253,"Torque teno midi virus 2, complete genome"
SRR2037085_NODE_6659_length_2468_cov_81.523415,2468,75.9%,Partial,NC_014093.1,3253,"Torque teno midi virus 2, complete genome"
SRR2037085_NODE_6668_length_2466_cov_94.021153,2466,75.8%,Partial,NC_014093.1,3253,"Torque teno midi virus 2, complete genome"
SRR2037085_NODE_6669_length_2466_cov_68.447947,2466,75.8%,Partial,NC_014093.1,3253,"Torque teno midi virus 2, complete genome"
SRR2037085_NODE_6672_length_2466_cov_30.081709,2466,84.8%,Partial,NC_014089.1,2908,"Torque teno mini virus 5, complete genome"
SRR2037085_NODE_6689_length_2463_cov_93.828073,2463,75.7%,Partial,NC_014093.1,3253,"Torque teno midi virus 2, complete genome"
SRR2037085_NODE_6691_length_2463_cov_51.582641,2463,75.7%,Partial,NC_014093.1,3253,"Torque teno midi virus 2, complete genome"
SRR2037085_NODE_6695_length_2463_cov_13.318522,2463,75.7%,Partial,NC_014093.1,3253,"Torque teno midi virus 2, complete genome"
SRR2037085_NODE_6704_length_2462_cov_4.831325,2462,84.7%,Partial,NC_014089.1,2908,"Torque teno mini virus 5, complete genome"
SRR2037085_NODE_6716_length_2459_cov_6.049085,2459,84.6%,Partial,NC_014089.1,2908,"Torque teno mini virus 5, complete genome"
SRR2037085_NODE_6719_length_2457_cov_81.484180,2457,84.5%,Partial,NC_014089.1,2908,"Torque teno mini virus 5, complete genome"
SRR2037085_NODE_6789_length_2442_cov_29.776288,2442,75.1%,Partial,NC_014093.1,3253,"Torque teno midi virus 2, complete genome"
SRR2037085_NODE_6798_length_2441_cov_5.411567,2441,75.0%,Partial,NC_014093.1,3253,"Torque teno midi virus 2, complete genome"
SRR2037085_NODE_6804_length_2439_cov_79.070889,2439,75.0%,Partial,NC_014093.1,3253,"Torque teno midi virus 2, complete genome"
SRR2037085_NODE_6805_length_2439_cov_9.224413,2439,83.9%,Partial,NC_014089.1,2908,"Torque teno mini virus 5, complete genome"
SRR2037085_NODE_6829_length_2434_cov_6.817150,2434,74.8%,Partial,NC_014093.1,3253,"Torque teno midi virus 2, complete genome"
SRR2037085_NODE_6833_length_2433_cov_12.544996,2433,86.8%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037085_NODE_6834_length_2433_cov_12.127418,2433,74.8%,Partial,NC_014093.1,3253,"Torque teno midi virus 2, complete genome"
SRR2037085_NODE_6881_length_2422_cov_10.355302,2422,74.5%,Partial,NC_014093.1,3253,"Torque teno midi virus 2, complete genome"
SRR2037085_NODE_6895_length_2418_cov_109.406263,2418,86.3%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037085_NODE_6955_length_2405_cov_7.004255,2405,73.9%,Partial,NC_014093.1,3253,"Torque teno midi virus 2, complete genome"
SRR2037085_NODE_7023_length_2387_cov_12.205403,2387,73.4%,Partial,NC_014093.1,3253,"Torque teno midi virus 2, complete genome"
SRR2037085_NODE_7091_length_2369_cov_9.802939,2369,72.8%,Partial,NC_014093.1,3253,"Torque teno midi virus 2, complete genome"
SRR2037085_NODE_7098_length_2368_cov_4.104194,2368,72.8%,Partial,NC_014093.1,3253,"Torque teno midi virus 2, complete genome"
SRR2037085_NODE_7468_length_2290_cov_4.539597,2290,70.4%,Partial,NC_014093.1,3253,"Torque teno midi virus 2, complete genome"
SRR2037085_NODE_7531_length_2279_cov_92.072392,2279,81.3%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037085_NODE_7877_length_2215_cov_4.762963,2215,79.0%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037085_NODE_8039_length_2184_cov_5.918741,2184,77.9%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037085_NODE_8055_length_2181_cov_5.339605,2181,67.0%,Partial,NC_014093.1,3253,"Torque teno midi virus 2, complete genome"
SRR2037085_NODE_8406_length_2122_cov_78.820997,2122,73.0%,Partial,NC_014089.1,2908,"Torque teno mini virus 5, complete genome"
SRR2037085_NODE_8719_length_2068_cov_3.507700,2068,73.8%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037083_NODE_1273_length_2990_cov_48.493015,2990,102.6%,Full-length,NC_025726.1,2914,"Torque teno mini virus ALA22, complete genome"
SRR2037083_NODE_1361_length_2876_cov_25.887629,2876,102.6%,Full-length,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037084_NODE_681_length_2974_cov_16.957177,2974,102.1%,Full-length,NC_025726.1,2914,"Torque teno mini virus ALA22, complete genome"
SRR2037084_NODE_732_length_2866_cov_30.284952,2866,102.2%,Full-length,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037085_NODE_4938_length_2949_cov_33.502764,2949,101.3%,Full-length,NC_038347.1,2912,"Torque teno mini virus 12 isolate LIL-y3 ORF2, ORF1, ORF3, and ORF4 genes, complete cds"
SRR2037085_NODE_5187_length_2862_cov_9.523691,2862,102.1%,Full-length,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037085_NODE_5331_length_2820_cov_17.338879,2820,100.6%,Full-length,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
DRR140177_NODE_1_length_3678_cov_70.810102,3678,101.4%,Full-length,NC_014073.1,3629,"Torque teno virus 28, complete genome"
DRR140176_NODE_17_length_2904_cov_34.833977,2904,103.6%,Full-length,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
DRR140173_NODE_2_length_3631_cov_34.511465,3631,100.3%,Full-length,NC_026765.1,3621,"Simian torque teno virus 34 isolate VGA00120.1, complete genome"
DRR140173_NODE_3_length_3530_cov_28.738417,3530,97.3%,Partial,NC_014073.1,3629,"Torque teno virus 28, complete genome"
DRR140173_NODE_4_length_3525_cov_11.912104,3525,93.4%,Partial,NC_026764.1,3774,"Simian torque teno virus 33 isolate VWP00522.11, complete genome"
DRR140173_NODE_5_length_3452_cov_26.448042,3452,92.4%,Partial,NC_014080.1,3736,"Torque teno virus 7, complete genome"
DRR140173_NODE_14_length_2503_cov_7.160131,2503,76.9%,Partial,NC_014093.1,3253,"Torque teno midi virus 2, complete genome"
DRR140173_NODE_16_length_2430_cov_3.621053,2430,86.7%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
DRR140162_NODE_1_length_3711_cov_21.721554,3711,98.7%,Partial,NC_014075.1,3759,"Torque teno virus 12, complete genome"
DRR140166_NODE_22_length_3833_cov_69.879831,3833,102.6%,Full-length,NC_014080.1,3736,"Torque teno virus 7, complete genome"
DRR140166_NODE_32_length_3100_cov_14.850903,3100,82.1%,Partial,NC_026764.1,3774,"Simian torque teno virus 33 isolate VWP00522.11, complete genome"
DRR140166_NODE_36_length_3035_cov_19.979195,3035,108.3%,Full-length,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
DRR140166_NODE_54_length_2692_cov_11.335988,2692,93.8%,Partial,NC_038346.1,2871,"Torque teno mini virus 11 isolate LIL-y2 ORF2, ORF1, and ORF3 genes, complete cds"
DRR140174_NODE_1_length_3735_cov_52.895924,3735,99.4%,Partial,NC_014075.1,3759,"Torque teno virus 12, complete genome"
DRR140174_NODE_4_length_3208_cov_10.860450,3208,88.6%,Partial,NC_026765.1,3621,"Simian torque teno virus 34 isolate VGA00120.1, complete genome"
DRR140174_NODE_9_length_2891_cov_8.941467,2891,79.7%,Partial,NC_014073.1,3629,"Torque teno virus 28, complete genome"
DRR140174_NODE_12_length_2681_cov_5.626047,2681,95.6%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
DRR140164_NODE_2_length_3763_cov_101.018878,3763,100.1%,Full-length,NC_014075.1,3759,"Torque teno virus 12, complete genome"
DRR140164_NODE_4_length_3432_cov_16.625111,3432,91.9%,Partial,NC_014080.1,3736,"Torque teno virus 7, complete genome"
DRR140164_NODE_5_length_3330_cov_37.998473,3330,89.1%,Partial,NC_014080.1,3736,"Torque teno virus 7, complete genome"
DRR140164_NODE_6_length_3329_cov_13.258094,3329,88.6%,Partial,NC_014075.1,3759,"Torque teno virus 12, complete genome"
DRR140164_NODE_11_length_2936_cov_13.587296,2936,78.1%,Partial,NC_014075.1,3759,"Torque teno virus 12, complete genome"
DRR140164_NODE_13_length_2885_cov_7.748410,2885,99.1%,Partial,NC_020498.1,2912,"TTV-like mini virus isolate TTMV_LY1, complete genome"
DRR140164_NODE_17_length_2724_cov_19.928438,2724,75.1%,Partial,NC_014073.1,3629,"Torque teno virus 28, complete genome"
DRR140165_NODE_22_length_3550_cov_2.654077,3550,126.7%,Full-length,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
DRR140165_NODE_26_length_3447_cov_10.801297,3447,91.7%,Partial,NC_014075.1,3759,"Torque teno virus 12, complete genome"
